######## SCALE 0.7 
FXR98           -1.72     0.26
FXR91            0.55     0.17
FXR101         -12.36     0.35
FXR46           -1.83     0.34
FXR99           -1.31     0.14
FXR49           -1.16     0.34
FXR45           -0.92     0.15
FXR102          -3.58     0.19
INT01           -1.38     0.14
FXR17            0.00     0.16
FXR93            0.04     0.13
FXR96           -2.85     0.17
FXR48           -1.86     0.21
FXR47_BM1       -1.82     0.16
FXR47_BM2       -2.20     0.21
FXR95           -2.15     0.30
INT02_BM1       -1.28     0.21
FXR100          -2.76     0.23
INT02_BM2       -1.88     0.14
