#@@@@@@
#perturbation					DG_free_to_bound  err
FXR_77_BM2,FXR_81_BM2,0.02,0.03
FXR_81_BM2,FXR_77_BM2,-0.24,0.03
#####
FXR_73_BM2,FXR_73_BM1,1.94,0.11
FXR_73_BM1,FXR_73_BM2,-1.07,0.10
#####
FXR_74_BM2,FXR_76,2.47,0.10
FXR_76,FXR_74_BM2,-2.49,0.10
#####
Int01_BM1,Int01_BM2,0.11,0.10
Int01_BM2,Int01_BM1,-0.23,0.10
#####
FXR_85_BM2,FXR_76,1.02,0.05
FXR_76,FXR_85_BM2,-1.83,0.05
#####
FXR_76,FXR_85_BM1,-0.88,0.05
FXR_85_BM1,FXR_76,1.28,0.05
#####
FXR_41_BM2,FXR_12_BM2,8.08,0.04
FXR_12_BM2,FXR_41_BM2,-9.21,0.04
#####
FXR_74_BM1,FXR_85_BM1,0.34,0.04
FXR_85_BM1,FXR_74_BM1,-0.79,0.04
#####
FXR_82_BM2,FXR_76,0.22,0.08
FXR_76,FXR_82_BM2,-0.42,0.08
#####
FXR_82_BM1,FXR_83_BM1,-0.88,0.15
FXR_83_BM1,FXR_82_BM1,-0.42,0.14
#####
FXR_84_BM1,FXR_76,1.12,0.03
FXR_76,FXR_84_BM1,-0.26,0.03
#####
FXR_79_BM2B,Int01_BM2,-7.93,0.08
Int01_BM2,FXR_79_BM2B,9.94,0.08
#####
Int01_BM2,FXR_73_BM2,-0.08,0.04
FXR_73_BM2,Int01_BM2,0.51,0.04
#####
FXR_12_BM2,FXR_84_BM2,2.15,0.11
FXR_84_BM2,FXR_12_BM2,-0.64,0.05
#####
FXR_74_BM2,FXR_84_BM2,0.82,0.06
FXR_84_BM2,FXR_74_BM2,-1.97,0.06
#####
FXR_76,FXR_82_BM1,-1.77,0.08
FXR_82_BM1,FXR_76,2.95,0.08
#####
FXR_84_BM2,FXR_76,0.39,0.03
FXR_76,FXR_84_BM2,-0.08,0.03
#####
FXR_10_BM2,Int02,8.19,0.05
Int02,FXR_10_BM2,-7.49,0.05
#####
FXR_75_BM2,Int01_BM2,0.38,0.02
Int01_BM2,FXR_75_BM2,-0.57,0.02
#####
Int01_BM1,FXR_79_BM1B,10.14,0.08
FXR_79_BM1B,Int01_BM1,-8.09,0.08
#####
FXR_76,FXR_88_BM1,-1.57,0.05
FXR_88_BM1,FXR_76,1.34,0.05
#####
FXR_76,FXR_88_BM2,-2.10,0.05
FXR_88_BM2,FXR_76,1.88,0.05
#####
Int01_BM1,FXR_79_BM1A,11.80,0.08
FXR_79_BM1A,Int01_BM1,-11.30,0.08
#####
FXR_73_BM1,Int01_BM1,0.36,0.04
Int01_BM1,FXR_73_BM1,-0.51,0.04
#####
FXR_74_BM1,FXR_76,2.98,0.10
FXR_76,FXR_74_BM1,-2.32,0.10
#####
FXR_38_BM2,FXR_10_BM2,8.50,0.04
FXR_10_BM2,FXR_38_BM2,-8.36,0.04
#####
FXR_82_BM1,FXR_81_BM1,-0.73,0.03
FXR_81_BM1,FXR_82_BM1,1.16,0.03
#####
FXR_76,Int02,8.46,0.05
Int02,FXR_76,-9.72,0.05
#####
FXR_88_BM2,FXR_85_BM2,1.07,0.05
FXR_85_BM2,FXR_88_BM2,-1.31,0.05
#####
FXR_12_BM1,FXR_84_BM1,1.40,0.04
FXR_84_BM1,FXR_12_BM1,-1.30,0.04
#####
FXR_83_BM1,FXR_76,1.59,0.07
